,event,name,date,bouts,link
697,UFC 75,Champion vs Champion,2007.09.08,9,/fightcenter/events/ufc-75-champion-vs-champion
698,UFC 74,Respect,2007.08.25,9,/fightcenter/events/ufc-74-respect
702,UFC 73,Stacked,2007.07.07,9,/fightcenter/events/ufc-73-stacked
710,UFC 72,Victory,2007.06.16,8,/fightcenter/events/ufc-72-victory
712,UFC Fight Night 10,Stout vs Fisher,2007.06.12,9,/fightcenter/events/ufc-fight-night-10-stout-vs-fisher
714,UFC 71,Liddell vs Jackson,2007.05.26,9,/fightcenter/events/ufc-71-liddell-vs-jackson
716,UFC 70,Nations Collide,2007.04.21,10,/fightcenter/events/ufc-70-nations-collide
717,UFC 69,Shootout,2007.04.07,9,/fightcenter/events/ufc-69-shootout
718,UFC Fight Night 9,Stevenson vs Guillard,2007.04.05,9,/fightcenter/events/ufc-fight-night-9-stevenson-vs-guillard
719,UFC 68,Uprising,2007.03.03,9,/fightcenter/events/ufc-68-uprising
726,UFC 67,All or Nothing,2007.02.03,9,/fightcenter/events/ufc-67-all-or-nothing
730,UFC Fight Night 8,Evans vs Salmon,2007.01.25,8,/fightcenter/events/ufc-fight-night-8-evans-vs-salmon
731,UFC 66,Liddell vs. Ortiz 2,2006.12.30,9,/fightcenter/events/ufc-66-liddell-vs-ortiz-2
732,UFC Fight Night 7,Sanchez vs Riggs,2006.12.13,9,/fightcenter/events/ufc-fight-night-7-sanchez-vs-riggs
734,UFC 65,Bad Intentions,2006.11.18,9,/fightcenter/events/ufc-65-bad-intentions
736,UFC 64,Unstoppable,2006.10.14,8,/fightcenter/events/ufc-64-unstoppable
